2026-02-05 14:10:27 - Action: Delete, User ID: 24.53.031782
2026-02-14 08:04:28 - Action: Delete Tugas, User ID: <br />
<b>Warning</b>:  Trying to access array offset on null in <b>C:\laragon\www\absen_kuliah_kelas\admin_dashboard.php</b> on line <b>464</b><br />

2026-02-14 08:13:36 - Action: Toggle Maintenance, User ID: admin
2026-02-14 08:13:41 - Action: Toggle Maintenance, User ID: admin
2026-02-14 08:13:56 - Action: Delete Tugas, User ID: 6
2026-02-14 15:05:31 - Action: Toggle Maintenance, User ID: admin
2026-02-14 15:05:35 - Action: Toggle Maintenance, User ID: admin
2026-02-14 15:09:03 - Action: Toggle Maintenance, User ID: admin
2026-02-14 15:09:07 - Action: Toggle Maintenance, User ID: admin
2026-02-14 15:42:39 - Action: Delete, User ID: 12345
2026-02-14 15:57:49 - Action: Toggle Maintenance, User ID: admin
2026-02-14 15:58:03 - Action: Toggle Maintenance, User ID: admin
2026-02-14 15:58:15 - Action: Toggle Maintenance, User ID: admin
2026-02-14 15:58:31 - Action: Toggle Maintenance, User ID: admin
